pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,target_cka_mode,target_alignment_temperature,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P21,original,1.0,10.833381652832031,0.03,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-3.129429817199707,0.015165950171649456,0.5381487607955933,0.33586645126342773,0.03214716911315918,0.46185123920440674,True,True,0.027989773079752922,0.0008396931807510555,0.10328327119350433,90.97145119099878,
P21,original,1.0,36.13688659667969,0.1,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-6.75,0.0010644652647897601,0.5084889531135559,0.3631107807159424,0.05939149856567383,0.4915110468864441,True,True,0.028010251000523567,0.002801025053486228,0.1035536453127861,90.88861877395539,
P21,original,1.0,108.36154174804688,0.3,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-5.375,0.00197964021936059,0.44548800587654114,0.3989792764186859,0.09525999426841736,0.5545120239257812,True,True,0.027993185445666313,0.008397955447435379,0.1045067310333252,90.87935997801833,
P21,original,1.0,361.4286193847656,1.0,original_cka_a2,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[True, False, False, False, False, True, True, True]",generative_strict,True,5,,,,,,,,,-5.5,0.0019692268688231707,0.3885447084903717,0.4305531978607178,0.12683391571044922,0.6114553213119507,True,True,0.028011208400130272,0.028011208400130272,0.10271970927715302,90.77054552099435,
P21,original,1.0,6.942268371582031,0.03,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, False, True, False, True, True, True]",generative_strict,True,6,,,,,,,,,-4.0,0.006608833093196154,0.5859120488166809,0.3544430434703827,0.050723761320114136,0.4140879511833191,True,True,0.02799101546406746,0.0008397303172387183,0.06229202449321747,90.96027758100536,
P21,original,1.0,23.142812728881836,0.1,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-4.375,0.004828587174415588,0.5541051626205444,0.39560186862945557,0.09188258647918701,0.44589483737945557,True,True,0.027996107935905457,0.002799611072987318,0.06049363315105438,90.87728692998644,
P21,original,1.0,69.44477081298828,0.3,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-4.375,0.004508373327553272,0.5113343000411987,0.44921329617500305,0.1454940140247345,0.48866569995880127,True,True,0.02799677662551403,0.00839903298765421,0.061736635863780975,90.77696675102925,
P21,original,1.0,231.22747802734375,1.0,original_cka_a4,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, False, True, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-5.5,0.002491589402779937,0.46726447343826294,0.47803041338920593,0.17431113123893738,0.5327355265617371,True,True,0.027972256764769554,0.027972256764769554,0.06212068349123001,90.84926627099048,
P21,original,1.0,3.687488317489624,0.03,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, False, True, False, True, True, True]",generative_strict,True,5,,,,,,,,,-3.0,0.01112307421863079,0.6211932897567749,0.372202605009079,0.06848332285881042,0.3788067102432251,True,True,0.027966683730483055,0.0008390004513785243,0.02075030282139778,90.81222192099085,
P21,original,1.0,12.285260200500488,0.1,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,3,8,"[False, False, False, True, False, True, True, False]",generative_strict,True,5,,,,,,,,,-4.25,0.004737278446555138,0.5953106880187988,0.41248202323913574,0.10876274108886719,0.40468931198120117,True,True,0.02795197255909443,0.002795197069644928,0.019302329048514366,90.84456600697013,
P21,original,1.0,36.9246711730957,0.3,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-4.125,0.004400487057864666,0.5626082420349121,0.46262142062187195,0.1589021384716034,0.4373917579650879,True,True,0.028006790205836296,0.008402037434279919,0.02014269307255745,90.88385949202348,
P21,original,1.0,123.02079010009766,1.0,original_cka_a8,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,4,8,"[False, False, False, True, False, True, True, True]",generative_strict,True,4,,,,,,,,,-4.5,0.0022651536855846643,0.5259323120117188,0.49077314138412476,0.1870538592338562,0.47406768798828125,True,True,0.027986610308289528,0.027986610308289528,0.019569143652915955,90.77234902902273,
P22,original,1.0,14.528970718383789,0.03,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-4.5,0.006057295948266983,0.5260199308395386,0.31912386417388916,-0.07776772975921631,0.4739800691604614,True,False,0.038060836493968964,0.0011418251087889075,0.033044956624507904,244.4748232489801,
P22,original,1.0,48.487449645996094,0.1,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-5.75,0.0030802772380411625,0.441701740026474,0.2923681437969208,-0.10452345013618469,0.5582982301712036,True,False,0.03810315579175949,0.0038103151600807905,0.02970936894416809,234.04355288797524,
P22,original,1.0,145.25375366210938,0.3,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, True, True, True, True, False, False]",generative_strict,True,5,,,,,,,,,-6.125,0.001706338836811483,0.3675621747970581,0.26163291931152344,-0.13525867462158203,0.6324378252029419,True,False,0.038050081580877304,0.011415025219321251,0.03196952864527702,235.92574160499498,
P22,original,1.0,485.24847412109375,1.0,original_cka_a0.5,1.0,0.5,0.0,spatial_index_legacy,0.07,8,complete,3,8,"[False, False, True, False, True, True, False, False]",generative_strict,True,5,,,,,,,,,-4.625,0.004259155131876469,0.28675204515457153,0.22532202303409576,-0.1715695708990097,0.7132479548454285,True,False,0.03813624382019043,0.03813624009490013,0.03368872404098511,235.98313974100165,
P22,original,1.0,15.042101860046387,0.03,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, True, True, True, True, False, False]",generative_strict,True,6,,,,,,,,,-6.75,0.000833471305668354,0.5526788234710693,0.35428595542907715,-0.04260563850402832,0.44732117652893066,True,False,0.038043566048145294,0.001141306827776134,0.04514993727207184,233.87526906601852,
P22,original,1.0,50.073448181152344,0.1,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[False, True, True, True, True, True, False, True]",generative_strict,True,6,,,,,,,,,-4.875,0.003448448609560728,0.49889397621154785,0.34690025448799133,-0.049991339445114136,0.5011060237884521,True,False,0.03798726201057434,0.0037987264804542065,0.0407535582780838,234.25976119400002,
P22,original,1.0,150.6689910888672,0.3,original_cka_a1,1.0,1.0,0.0,spatial_index_legacy,0.07,8,complete,5,8,"[False, True, True, False, True, True, False, True]",generative_strict,True,6,,,,,,,,,-5.375,0.0035496826749294996,0.4069097638130188,0.3258399963378906,-0.07105159759521484,0.5930902361869812,True,False,0.03809910640120506,0.011429732665419579,0.04452451691031456,235.4884148419951,
