pair_id,image_id,query_kind,local_cka,local_null_mean,local_null_std,local_cka_excess,local_cka_normalized,local_z_score,local_empirical_p_value,local_null_exceedance_count,local_permutations_evaluated,query_in_calibration,excluded_calibration_indices,neighbor_indices
P06,val/n03930630/ILSVRC2012_val_00026503.JPEG,clean,0.8146743178367615,0.7507748485207558,0.036668651403719756,0.06389946931600565,0.2563925387816538,1.7426184729968972,0.04295704295704296,42,1000,0,,35|37|39|28|38|17|11|8
P06,val/n03930630/ILSVRC2012_val_00025354.JPEG,clean,0.8198944926261902,0.7452943326234818,0.0370852448736518,0.07460016000270842,0.29288771141645176,2.0115860164027146,0.017982017982017984,17,1000,0,,35|38|37|39|8|17|28|22
P06,val/n03930630/ILSVRC2012_val_00039508.JPEG,clean,0.8599666357040405,0.648901356101036,0.06843430179621365,0.21106527960300447,0.6011566358078642,3.0842030102319584,0.008991008991008992,8,1000,0,,35|37|38|39|28|17|8|19
P06,val/n03930630/ILSVRC2012_val_00037136.JPEG,clean,0.7925848364830017,0.7407438267469406,0.04626057655512708,0.051841009736061094,0.1999605605744215,1.1206304286822715,0.14885114885114886,148,1000,0,,35|37|38|39|28|8|26|17
P06,val/n03930630/ILSVRC2012_val_00049612.JPEG,clean,0.832429826259613,0.6534401302337647,0.06236968569411522,0.17898969602584835,0.5164755404212903,2.8698187915148754,0.013986013986013986,13,1000,0,,37|39|17|35|38|28|8|18
P06,val/n03930630/ILSVRC2012_val_00010012.JPEG,clean,0.8978842496871948,0.8026266843080521,0.034610889906666144,0.09525756537914276,0.4826263623590172,2.7522425928954783,0.003996003996003996,3,1000,0,,35|37|39|38|17|28|11|20
P11,val/n03930630/ILSVRC2012_val_00015879.JPEG,clean,0.8598421216011047,0.8031422085165978,0.0383385335806786,0.05669991308450695,0.2880247342878858,1.4789275381435532,0.07292707292707293,72,1000,0,,39|35|37|19|11|18|38|24
P11,val/n03930630/ILSVRC2012_val_00035897.JPEG,clean,0.9126563668251038,0.8114587633013726,0.037401380662641856,0.1011976035237312,0.5367398946549283,2.7057183914285767,0.006993006993006993,6,1000,0,,39|35|37|20|18|38|19|8
P11,val/n03930630/ILSVRC2012_val_00026503.JPEG,clean,0.9192821383476257,0.8762410688996315,0.024373624454635225,0.04304106944799424,0.34778152223283126,1.765887118188077,0.04295704295704296,42,1000,0,,35|37|39|26|28|38|9|14
P11,val/n03930630/ILSVRC2012_val_00025354.JPEG,clean,0.8578763008117676,0.8280878166556358,0.0333230704973261,0.029788484156131778,0.1732773301846866,0.893929752317454,0.19480519480519481,194,1000,0,,35|38|39|37|28|19|14|26
P11,val/n03930630/ILSVRC2012_val_00039508.JPEG,clean,0.9093246459960938,0.870848455965519,0.02556891027198157,0.038476190030574786,0.2979150603131958,1.5048036706021461,0.07492507492507493,74,1000,0,,35|39|37|19|28|22|26|38
P11,val/n03930630/ILSVRC2012_val_00037136.JPEG,clean,0.9437583684921265,0.8735355096459388,0.024035207956376776,0.07022285884618762,0.5552772849484112,2.9216663726663037,0.000999000999000999,0,1000,0,,37|35|39|38|26|28|32|22
P11,val/n03930630/ILSVRC2012_val_00049612.JPEG,clean,0.9010801911354065,0.7034056773781776,0.05215379672327272,0.1976745137572289,0.666481111336973,3.7902228826424076,0.001998001998001998,1,1000,0,,39|37|38|19|35|28|18|17
P11,val/n03930630/ILSVRC2012_val_00010012.JPEG,clean,0.9161188006401062,0.8153690860271454,0.0366814030140875,0.10074971461296078,0.5456817195183984,2.7466156235700097,0.004995004995004995,4,1000,0,,35|39|22|37|26|21|5|14
P14,val/n03930630/ILSVRC2012_val_00015879.JPEG,clean,0.977808952331543,0.725998019695282,0.05274213573658246,0.251810932636261,0.9190113602690815,4.774378760350474,0.000999000999000999,0,1000,0,,17|18|19|24|39|35|20|37
P14,val/n03930630/ILSVRC2012_val_00035897.JPEG,clean,0.9809302687644958,0.7432126399278641,0.051089254467060655,0.23771762883663172,0.9257372667013394,4.652986842661759,0.000999000999000999,0,1000,0,,19|17|39|20|18|35|24|42
P14,val/n03930630/ILSVRC2012_val_00026503.JPEG,clean,0.9838447570800781,0.7279507124423981,0.05443110479480343,0.25589404463768006,0.9406164851047395,4.701246568526575,0.000999000999000999,0,1000,0,,35|20|37|39|28|19|11|17
P14,val/n03930630/ILSVRC2012_val_00025354.JPEG,clean,0.9767521619796753,0.6323572920262813,0.077212344487914,0.34439486995339397,0.936765132243595,4.460360221380169,0.000999000999000999,0,1000,0,,35|39|37|18|17|8|19|38
P14,val/n03930630/ILSVRC2012_val_00039508.JPEG,clean,0.978276789188385,0.6863009033799171,0.061198917903495104,0.2919758858084679,0.9307514396895962,4.770932163684433,0.000999000999000999,0,1000,0,,35|37|39|17|19|18|20|42
P14,val/n03930630/ILSVRC2012_val_00037136.JPEG,clean,0.9736377000808716,0.7277983992099762,0.050718171034752235,0.24583930087089534,0.9031515617740092,4.84716415941824,0.000999000999000999,0,1000,0,,35|37|39|8|18|38|28|19
P14,val/n03930630/ILSVRC2012_val_00049612.JPEG,clean,0.9785110950469971,0.8029409720301628,0.03762641496495742,0.17557012301683428,0.890951938744506,4.666140082182898,0.000999000999000999,0,1000,0,,35|37|39|18|15|48|17|8
P14,val/n03930630/ILSVRC2012_val_00010012.JPEG,clean,0.9778088927268982,0.7262575534582139,0.051929678575014765,0.25155133926868434,0.9189343576290628,4.84407656991959,0.000999000999000999,0,1000,0,,35|39|19|37|17|20|18|24
P16,val/n03930630/ILSVRC2012_val_00015879.JPEG,clean,0.981897234916687,0.8041823742389679,0.04094097166831982,0.17771486067771913,0.9075529334350889,4.3407582535525195,0.000999000999000999,0,1000,0,,17|19|18|20|39|12|9|22
P16,val/n03930630/ILSVRC2012_val_00035897.JPEG,clean,0.9824297428131104,0.6794609777927398,0.06105491599741971,0.3029687650203705,0.9451852786412733,4.962233754169353,0.000999000999000999,0,1000,0,,39|20|35|17|18|19|37|24
P16,val/n03930630/ILSVRC2012_val_00026503.JPEG,clean,0.9669027328491211,0.7583677446246148,0.045134227416958814,0.20853498822450633,0.8630262872005189,4.620329186052513,0.000999000999000999,0,1000,0,,28|37|39|20|35|26|17|12
P16,val/n03930630/ILSVRC2012_val_00025354.JPEG,clean,0.9803733825683594,0.6851841366291046,0.06235466501739013,0.2951892459392548,0.937656834628699,4.734036272297017,0.000999000999000999,0,1000,0,,39|35|37|18|17|30|26|19
P16,val/n03930630/ILSVRC2012_val_00039508.JPEG,clean,0.9697386026382446,0.6856323071718216,0.05867304356359113,0.2841062954664231,0.90373884450558,4.842194612906051,0.000999000999000999,0,1000,0,,39|37|35|20|17|12|28|18
