pair_id,proxy_layer,target_layer,subset,image_count,true_cka,null_mean,null_std,z_score,empirical_p_value,null_exceedance_count,permutations_evaluated,exact_null
P02,vision_final,vision_mid,class_8,5,0.895027756690979,0.6556275371743852,0.12030878875898132,1.9898813876032984,0.041666666666666664,4,119,1
P02,vision_final,vision_mid,classes_7_8,10,0.6898410320281982,0.48352165341377257,0.07338348016389527,2.8115234948469365,0.005994005994005994,5,1000,0
P02,vision_final,vision_final,global,50,0.7777469754219055,0.4188775401413441,0.017438807007113755,20.578783579299262,0.000999000999000999,0,1000,0
P02,vision_final,vision_final,class_7,5,0.9420427680015564,0.8200007982614661,0.06167099483292846,1.978920075324089,0.016666666666666666,1,119,1
P02,vision_final,vision_final,class_8,5,0.9439919590950012,0.791145200488948,0.08592275257840182,1.778885731885572,0.06666666666666667,7,119,1
P02,vision_final,vision_final,classes_7_8,10,0.9119217395782471,0.6352156934738159,0.05396672013801767,5.1273459902096485,0.000999000999000999,0,1000,0
P02,vision_final,projected,global,50,0.7916268706321716,0.41344036656618116,0.01737237221864919,21.76942212071696,0.000999000999000999,0,1000,0
P02,vision_final,projected,class_7,5,0.9391320943832397,0.8217410014457062,0.053535201785374985,2.192783234630547,0.008333333333333333,0,119,1
P02,vision_final,projected,class_8,5,0.9456709623336792,0.796124487864871,0.08457957888421697,1.768115618943031,0.1,11,119,1
P02,vision_final,projected,classes_7_8,10,0.9274474382400513,0.6412346423268318,0.05383280919544616,5.31669812872093,0.000999000999000999,0,1000,0
P02,projected,vision_mid,global,50,0.37502241134643555,0.22749313752353192,0.020054838057036627,7.356293449158026,0.000999000999000999,0,1000,0
P02,projected,vision_mid,class_7,5,0.7521103620529175,0.6754592441711105,0.07202035800944859,1.0642979290904233,0.18333333333333332,21,119,1
P02,projected,vision_mid,class_8,5,0.892281711101532,0.6607311683542588,0.11840521142952763,1.9555772921793,0.03333333333333333,3,119,1
P02,projected,vision_mid,classes_7_8,10,0.6713424324989319,0.47470059326291086,0.07477652616337697,2.629726858484763,0.00999000999000999,9,1000,0
P02,projected,vision_final,global,50,0.8018626570701599,0.41262889859080315,0.017133783886155766,22.71732625236745,0.000999000999000999,0,1000,0
P02,projected,vision_final,class_7,5,0.9294111728668213,0.7887738847932896,0.06885357315557537,2.042556132210601,0.016666666666666666,1,119,1
P02,projected,vision_final,class_8,5,0.9705150127410889,0.7970442546515906,0.08416196615414959,2.0611538206197833,0.008333333333333333,0,119,1
P02,projected,vision_final,classes_7_8,10,0.9168137907981873,0.6240529144108296,0.055362871095145406,5.288036378825537,0.000999000999000999,0,1000,0
P02,projected,projected,global,50,0.8166780471801758,0.4072518518269062,0.01741768652291893,23.50634768943219,0.000999000999000999,0,1000,0
P02,projected,projected,class_7,5,0.9191297888755798,0.7905110551529572,0.05940675824406652,2.165052218372292,0.016666666666666666,1,119,1
P02,projected,projected,class_8,5,0.9755738973617554,0.8020333582613649,0.08280990965105409,2.0956494196365965,0.008333333333333333,0,119,1
P02,projected,projected,classes_7_8,10,0.9364863634109497,0.6301477383375168,0.05504645133509495,5.5650930740039595,0.000999000999000999,0,1000,0
P06,vision_mid,vision_mid,global,50,0.8865558505058289,0.3726303308904171,0.018628702748236293,27.587831882929617,0.000999000999000999,0,1000,0
P06,vision_mid,vision_mid,class_7,5,0.9884940385818481,0.9066040971699882,0.03291467709317333,2.487946066736419,0.025,2,119,1
P06,vision_mid,vision_mid,class_8,5,0.9766198396682739,0.8179438199315753,0.0705539349337239,2.249003119184689,0.008333333333333333,0,119,1
P06,vision_mid,vision_mid,classes_7_8,10,0.9716063737869263,0.7074863392710685,0.04402302168390696,5.999588951714538,0.000999000999000999,0,1000,0
P06,vision_mid,vision_final,global,50,0.6983727812767029,0.38842381757497785,0.018254653953310017,16.979174981595513,0.000999000999000999,0,1000,0
P06,vision_mid,vision_final,class_7,5,0.9651420712471008,0.8535230921096161,0.05115454969182201,2.181995146275896,0.008333333333333333,0,119,1
P06,vision_mid,vision_final,class_8,5,0.9739603400230408,0.7789842847014675,0.08829172283290275,2.2083163524918055,0.016666666666666666,1,119,1
P06,vision_mid,vision_final,classes_7_8,10,0.8763771653175354,0.6268214944303035,0.053828614154905224,4.636115471393586,0.000999000999000999,0,1000,0
P06,vision_mid,projected,global,50,0.7139595150947571,0.37419101962447165,0.018743823666005802,18.126957526094145,0.000999000999000999,0,1000,0
P06,vision_mid,projected,class_7,5,0.9512268900871277,0.8158124429838998,0.05809157681795828,2.3310513248345197,0.008333333333333333,0,119,1
P06,vision_mid,projected,class_8,5,0.9616817831993103,0.7589490283437136,0.09407606643088899,2.154987581294442,0.016666666666666666,1,119,1
P06,vision_mid,projected,classes_7_8,10,0.8855725526809692,0.6175099955201149,0.05468996717331976,4.901494204802291,0.000999000999000999,0,1000,0
P06,vision_final,vision_mid,global,50,0.5796754360198975,0.39010904350876807,0.017316301051344168,10.947279788509707,0.000999000999000999,0,1000,0
P06,vision_final,vision_mid,class_7,5,0.937977135181427,0.8462694662959636,0.047873143453094257,1.9156391719987622,0.008333333333333333,0,119,1
P06,vision_final,vision_mid,class_8,5,0.9515028595924377,0.8693111218324229,0.047852038102675805,1.717622509278635,0.041666666666666664,4,119,1
P06,vision_final,vision_mid,classes_7_8,10,0.8847519755363464,0.740637270450592,0.03716263155249579,3.877946718659537,0.000999000999000999,0,1000,0
P06,vision_final,vision_final,global,50,0.762873649597168,0.4066405821442604,0.016816552635971645,21.183477682037104,0.000999000999000999,0,1000,0
P06,vision_final,vision_final,class_7,5,0.9306921362876892,0.7965915067857053,0.06864769545897757,1.9534614906646006,0.06666666666666667,7,119,1
P06,vision_final,vision_final,class_8,5,0.9241936206817627,0.828144841334399,0.06000043972677368,1.6008012572031922,0.041666666666666664,4,119,1
P06,vision_final,vision_final,classes_7_8,10,0.8826026320457458,0.655808007478714,0.046915281745165266,4.834131143002324,0.000999000999000999,0,1000,0
P06,vision_final,projected,global,50,0.7634348273277283,0.39154489859938624,0.01703383547738347,21.832424601148446,0.000999000999000999,0,1000,0
P06,vision_final,projected,class_7,5,0.9102622270584106,0.7614477552285716,0.07921385527500978,1.8786419536480605,0.06666666666666667,7,119,1
P06,vision_final,projected,class_8,5,0.9117938280105591,0.806863608981381,0.06382195834860432,1.6441084188616524,0.05,5,119,1
P06,vision_final,projected,classes_7_8,10,0.8852502703666687,0.6457839465737343,0.04832532517443312,4.955296688197473,0.000999000999000999,0,1000,0
P06,projected,vision_mid,global,50,0.5470401048660278,0.3837552326023579,0.017847137875728045,9.149078883160083,0.000999000999000999,0,1000,0
P06,projected,vision_mid,class_7,5,0.8766354918479919,0.8125736873690822,0.05536074443391448,1.1571702139118079,0.11666666666666667,13,119,1
P06,projected,vision_mid,class_8,5,0.9569152593612671,0.8419053158840212,0.06899223191319728,1.6669984473316635,0.11666666666666667,13,119,1
P06,projected,vision_mid,classes_7_8,10,0.7889710068702698,0.6504147517085075,0.051296150265790784,2.701104360538435,0.01098901098901099,10,1000,0
P06,projected,vision_final,global,50,0.773018479347229,0.39996843856573105,0.017557715544860634,21.247071683576422,0.000999000999000999,0,1000,0
P06,projected,vision_final,class_7,5,0.9291788935661316,0.7643851452514905,0.0784419582601116,2.1008367456634507,0.06666666666666667,7,119,1
P06,projected,vision_final,class_8,5,0.9742991924285889,0.8016545106382931,0.08755397843051456,1.9718656408893143,0.075,8,119,1
P06,projected,vision_final,classes_7_8,10,0.9388076066970825,0.5760016821622849,0.06288370135661578,5.769474708196833,0.000999000999000999,0,1000,0
P06,projected,projected,global,50,0.7502443790435791,0.3850992811024189,0.018113158981822777,20.159106333003358,0.000999000999000999,0,1000,0
P06,projected,projected,class_7,5,0.906552791595459,0.7306743454532463,0.0906479137775196,1.9402371087532961,0.06666666666666667,7,119,1
P06,projected,projected,class_8,5,0.9474101662635803,0.7811620025073781,0.09314172453049951,1.7848946279898843,0.09166666666666666,10,119,1
P06,projected,projected,classes_7_8,10,0.919643223285675,0.5672286736667156,0.06524909330359602,5.401064317924202,0.000999000999000999,0,1000,0
P11,vision_mid,vision_mid,global,50,0.5197588205337524,0.22441617594659327,0.02181054197420701,13.541279484775266,0.000999000999000999,0,1000,0
P11,vision_mid,vision_mid,class_7,5,0.8581076860427856,0.774089134039999,0.05643139716450663,1.4888618078666205,0.11666666666666667,13,119,1
P11,vision_mid,vision_mid,class_8,5,0.8949111700057983,0.6278314870946547,0.13925870242231383,1.917867093872538,0.041666666666666664,4,119,1
P11,vision_mid,vision_mid,classes_7_8,10,0.8164486289024353,0.5067777161300182,0.0671367766509428,4.612537691263562,0.000999000999000999,0,1000,0
P11,vision_mid,vision_final,global,50,0.8855440020561218,0.4068090312182903,0.018412492765507164,26.00055174140594,0.000999000999000999,0,1000,0
P11,vision_mid,vision_final,class_7,5,0.9850765466690063,0.9050957064668671,0.03315373425957417,2.4124232756387705,0.016666666666666666,1,119,1
P11,vision_mid,vision_final,class_8,5,0.9756407141685486,0.7566625390733991,0.0988900070454855,2.2143610020618985,0.008333333333333333,0,119,1
P11,vision_mid,vision_final,classes_7_8,10,0.958747148513794,0.6661822858452797,0.05271821621684675,5.549597153763742,0.000999000999000999,0,1000,0
P11,vision_mid,projected,global,50,0.878484308719635,0.39238970893621444,0.018506005161990847,26.266857462128108,0.000999000999000999,0,1000,0
P11,vision_mid,projected,class_7,5,0.9917808771133423,0.9065478639442379,0.03176877903582831,2.682917498119143,0.008333333333333333,0,119,1
P11,vision_mid,projected,class_8,5,0.9843409657478333,0.7562275714233142,0.09791423347031344,2.329726600920392,0.016666666666666666,1,119,1
P11,vision_mid,projected,classes_7_8,10,0.9633105397224426,0.6620467059016227,0.05126592491867947,5.876492705412014,0.000999000999000999,0,1000,0
P11,vision_final,vision_mid,global,50,0.3321317732334137,0.2282744137942791,0.020505909978064292,5.064752529891798,0.000999000999000999,0,1000,0
P11,vision_final,vision_mid,class_7,5,0.6755169034004211,0.7174408716313979,0.09469084090524049,-0.4427457590426422,0.6666666666666666,79,119,1
P11,vision_final,vision_mid,class_8,5,0.8889701962471008,0.6530062110484147,0.1256787730927514,1.8775166194894646,0.08333333333333333,9,119,1
P11,vision_final,vision_mid,classes_7_8,10,0.6287214756011963,0.46967416670918466,0.07486521672041024,2.1244486539855445,0.030969030969030968,30,1000,0
P11,vision_final,vision_final,global,50,0.7487816214561462,0.41333389922976493,0.01693042848546655,19.813303751546332,0.000999000999000999,0,1000,0
P11,vision_final,vision_final,class_7,5,0.9042420983314514,0.8377569488116673,0.0453377438275041,1.466441510030567,0.08333333333333333,9,119,1
P11,vision_final,vision_final,class_8,5,0.951076328754425,0.7871152277754134,0.08977667395303421,1.8263218468617612,0.058333333333333334,6,119,1
P11,vision_final,vision_final,classes_7_8,10,0.8970968723297119,0.616621812403202,0.0552975611234558,5.072105427946977,0.000999000999000999,0,1000,0
P11,vision_final,projected,global,50,0.7420074939727783,0.3984222554266453,0.017920477725363735,19.17277227826577,0.000999000999000999,0,1000,0
P11,vision_final,projected,class_7,5,0.9092275500297546,0.8391112549966123,0.04476087957071068,1.5664637448059215,0.06666666666666667,7,119,1
