pair_id,prompt_id,objective,lambda_cka,source_cka_weight,target_cka_weight_alpha,semantic_target_weight,seed,steps,batch_size,reference_bank_size,epsilon_linf,step_size,momentum,proxy_hits,proxy_denominator,free_generation_hits,target_hits,target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,status
P20,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,4,8,50.0,6,75.0,3.5170958042144775,0.9614929556846619,0.26086777448654175,0.23010537028312683,0.09290285408496857,0.7391322255134583,0.006605029106140137,0.0004028473631478846,-0.031526047736406326,530.4188520649986,complete
P20,original,token_contrastive_cka,1.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,3,8,37.5,6,75.0,3.698002815246582,0.9583547115325928,0.09176577627658844,0.11833713203668594,-0.01886538416147232,0.9082342386245728,0.00671959575265646,0.0011148549383506179,0.1357974410057068,458.04247916700115,complete
P20,original,token_contrastive_cka,1.5,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,3,8,37.5,5,62.5,3.601041078567505,0.9550352096557617,0.19205841422080994,0.20927801728248596,0.0720755010843277,0.8079415559768677,0.006670816335827112,0.0011316154850646853,0.08831705898046494,558.8066638240052,complete
P20,original,token_contrastive_cka,1.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,3,8,37.5,6,75.0,3.577169895172119,0.9558746814727783,0.27351659536361694,0.23816415667533875,0.10096164047718048,0.7264834046363831,0.006703199818730354,0.0012085421476513147,-0.04978296905755997,416.71005886300554,complete
P20,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,2,8,25.0,5,62.5,3.5580332279205322,0.9562216997146606,0.08856053650379181,0.09587274491786957,-0.041329771280288696,0.9114394783973694,0.006723886355757713,0.0022297098767012358,0.13607504963874817,402.88836686099967,complete
P20,original,token_contrastive_cka,3.0,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,3,8,37.5,5,62.5,3.5760512351989746,0.9579015374183655,0.1839839667081833,0.22533780336380005,0.08813528716564178,0.8160160183906555,0.006714670918881893,0.0022632309701293707,0.07595144212245941,545.0374255329953,complete
P20,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,2,8,25.0,7,87.5,3.384573459625244,0.9506109952926636,0.2709496021270752,0.28261837363243103,0.14541585743427277,0.7290503978729248,0.006756858434528112,0.002417084062471986,-0.07533194124698639,632.3979553440004,complete
P20,original,token_contrastive_cka,6.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,4,8,50.0,6,75.0,3.4192769527435303,0.9564064145088196,0.05475395545363426,0.11706491559743881,-0.020137600600719452,0.9452460408210754,0.0066765896044671535,0.0044594197534024715,0.15999667346477509,530.5811354899997,complete
P20,original,token_contrastive_cka,6.0,1.0,2.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,3,8,37.5,7,87.5,3.3941941261291504,0.9507882595062256,0.17820844054222107,0.22636714577674866,0.0891646295785904,0.8217915296554565,0.006650733295828104,0.004526461940258741,0.09948650747537613,530.7254670320035,complete
P20,original,token_contrastive_cka,6.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,6,75.0,3.512061834335327,0.9592902660369873,0.2739963233470917,0.292974054813385,0.15577153861522675,0.7260036468505859,0.0066695245914161205,0.004834168124943972,-0.04413921386003494,647.802494692005,complete
P21,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,5,62.5,4.2092742919921875,0.9588209986686707,0.0723622664809227,0.08367469906806946,0.021052107214927673,0.9276377558708191,0.02361105941236019,5.3514882893068716e-05,0.1093745157122612,318.46475051699963,complete
P21,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,4.019503116607666,0.9552247524261475,0.10716288536787033,0.13902080059051514,0.07639820873737335,0.8928371071815491,0.02358989603817463,5.2496649004751816e-05,0.0990540087223053,294.60560296999756,complete
P21,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,4.239744663238525,0.9606936573982239,0.05482105165719986,0.08535901457071304,0.02273642271757126,0.9451789259910583,0.023616991937160492,0.00032116996590048075,0.10821498185396194,320.7341590899887,complete
P21,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,4,50.0,4.17954158782959,0.9566071033477783,0.12071092426776886,0.1855376660823822,0.12291507422924042,0.8792890906333923,0.02362077496945858,0.00031496342853643,0.09957630932331085,402.60344926700054,complete
P22,original,token_contrastive_cka,0.5,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,5.9716973304748535,0.9938507080078125,0.586615800857544,0.35425227880477905,-0.046075403690338135,0.41338419914245605,0.0,0.0,0.0,243.03140454400273,complete
P22,original,token_contrastive_cka,0.5,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,2,25.0,5.0,0.9859423041343689,0.6339021921157837,0.4707212746143341,0.07039359211921692,0.3660978078842163,0.0,0.0,0.0,386.01792360199033,complete
P22,original,token_contrastive_cka,3.0,1.0,1.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,1,8,12.5,3,37.5,3.348156690597534,0.9610574245452881,0.2816144526004791,0.39913031458854675,-0.0011973679065704346,0.7183855772018433,0.0,0.0,0.0,908.1844135850115,complete
P22,original,token_contrastive_cka,3.0,1.0,4.0,0.0,42,100,8,8,0.06274509803921569,0.00392156862745098,1.0,8,8,8,0,8,0.0,1,12.5,4.240823268890381,0.9795736074447632,0.6296166181564331,0.5009199380874634,0.10059225559234619,0.3703833818435669,0.0,0.0,0.0,406.7977908220055,complete
