pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P16,T07,7,10,p16_ext_tau005_push025,prototype,50,0.00392156862745098,1.0,0.05,1.0,0.25,8,8,2,8,25.0,3,37.5,-0.22851736843585968,0.3421618640422821,0.570679247379303,83836.7890625,116.12334646499949
P16,T07,7,10,p16_ext_tau020_push025,prototype,50,0.00392156862745098,1.0,0.2,1.0,0.25,8,8,4,8,50.0,4,50.0,-0.22851736843585968,0.3979232609272003,0.6264406442642212,951.68310546875,116.57200871099485
P16,T07,7,10,p16_reserve_baseline,prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,0,8,0.0,2,25.0,-0.22851736843585968,0.6152166724205017,0.8437340259552002,51.22184371948242,116.11947807995602
P16,T07,7,10,p16_reserve_push025,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,8,8,4,8,50.0,5,62.5,-0.22851736843585968,0.39802855253219604,0.6265459060668945,3273.84375,116.14475861797109
P16,T07,7,10,p16_reserve_push050,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.5,8,8,4,8,50.0,7,87.5,-0.22851736843585968,0.5095324516296387,0.7380498051643372,449.2886047363281,115.99472191004315
P16,T07,7,10,p16_reserve_rho075_push050,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.5,8,8,3,8,37.5,6,75.0,-0.22851736843585968,0.5091962814331055,0.737713634967804,337.94775390625,115.91336738795508
P16,T07,7,10,p16_reserve_rho125_push050,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.5,8,8,3,8,37.5,6,75.0,-0.22851736843585968,0.5094212889671326,0.737938642501831,560.81982421875,115.90311489300802
P16,T08,8,1,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.23367346823215485,0.3763783574104309,0.6100518107414246,12.941291809082031,124.20314729301026
P16,T08,8,1,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.23367346823215485,0.38115012645721436,0.614823579788208,25.83917999267578,124.25174445699668
P16,T08,8,1,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.23367346823215485,0.383270263671875,0.6169437170028687,51.69100570678711,123.96988249098649
P16,T08,8,1,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.23367346823215485,0.37038150429725647,0.6040549874305725,68.38613891601562,124.25633705197833
P16,T08,8,1,p16_ext_push010,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.1,8,8,2,8,25.0,2,25.0,-0.23367351293563843,0.2776803970336914,0.5113539099693298,5734.8046875,116.26681066903984
P16,T08,8,1,p16_ext_push020,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.2,8,8,2,8,25.0,2,25.0,-0.23367351293563843,0.31783977150917053,0.5515133142471313,2521.6826171875,116.34968780603958
P16,T08,8,1,p16_ext_push035,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.35,8,8,2,8,25.0,3,37.5,-0.23367351293563843,0.38272812962532043,0.6164016723632812,746.5485229492188,115.92502164200414
P16,T08,8,1,p16_ext_rho075_push025,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.25,8,8,2,8,25.0,3,37.5,-0.23367351293563843,0.3410729169845581,0.5747464299201965,1257.390625,116.04014917602763
P16,T08,8,1,p16_ext_rho125_push025,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.25,8,8,2,8,25.0,3,37.5,-0.23367351293563843,0.3403588831424713,0.5740324258804321,2098.405029296875,116.18891552102286
P16,T08,8,1,p16_ext_tau005_push025,prototype,50,0.00392156862745098,1.0,0.05,1.0,0.25,8,8,1,8,12.5,2,25.0,-0.23367351293563843,0.303622841835022,0.5372963547706604,42946.7109375,116.09003265196225
P16,T08,8,1,p16_ext_tau020_push025,prototype,50,0.00392156862745098,1.0,0.2,1.0,0.25,8,8,2,8,25.0,3,37.5,-0.23367351293563843,0.34166383743286133,0.5753373503684998,474.8030700683594,116.0568093219772
P16,T08,8,1,p16_reserve_baseline,prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.23367351293563843,0.5566743016242981,0.7903478145599365,31.976486206054688,115.94932254200103
P16,T08,8,1,p16_reserve_push025,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.25,8,8,2,8,25.0,3,37.5,-0.23367351293563843,0.3385366201400757,0.5722101330757141,1678.6640625,116.30470260302536
P16,T08,8,1,p16_reserve_push050,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.5,8,8,3,8,37.5,4,50.0,-0.23367351293563843,0.4439159035682678,0.6775894165039062,237.4078369140625,116.0579052210087
P16,T08,8,1,p16_reserve_rho075_push050,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.5,8,8,3,8,37.5,3,37.5,-0.23367351293563843,0.44124636054039,0.674919843673706,178.02728271484375,116.02365739195375
P16,T08,8,1,p16_reserve_rho125_push050,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.5,8,8,4,8,50.0,4,50.0,-0.23367351293563843,0.44527724385261536,0.6789507865905762,296.9936828613281,116.27348224102752
P16,T09,9,2,multi_ext_rho025,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.1772078424692154,0.4097369909286499,0.5869448184967041,12.526806831359863,123.99043924798025
P16,T09,9,2,multi_ext_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,8,8,3,8,37.5,3,37.5,-0.1772078424692154,0.4159943461418152,0.5932021737098694,25.095884323120117,123.90027754701441
P16,T09,9,2,multi_ext_rho100,multiclass_prototype,50,0.00392156862745098,1.0,0.1,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.1772078424692154,0.4172552525997162,0.5944631099700928,50.091651916503906,123.935559012054
P16,T09,9,2,multi_ext_tau020_rho050,multiclass_prototype,50,0.00392156862745098,0.5,0.2,1.0,1.0,8,8,2,8,25.0,2,25.0,-0.1772078424692154,0.40686869621276855,0.5840765237808228,54.691490173339844,123.78212803602219
P16,T09,9,2,p16_ext_push010,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.1,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.2638627290725708,0.4410704970359802,6846.5478515625,115.74048985203262
P16,T09,9,2,p16_ext_push020,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.2,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.3061527907848358,0.48336052894592285,3219.9794921875,115.95903307199478
P16,T09,9,2,p16_ext_push035,prototype,50,0.00392156862745098,1.0,0.1,1.0,0.35,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.3714810609817505,0.5486888289451599,1039.2744140625,115.92406134097837
P16,T09,9,2,p16_ext_rho075_push025,prototype,50,0.00392156862745098,0.75,0.1,1.0,0.25,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.32754331827163696,0.5047510862350464,1660.71728515625,115.86788579297718
P16,T09,9,2,p16_ext_rho125_push025,prototype,50,0.00392156862745098,1.25,0.1,1.0,0.25,8,8,3,8,37.5,4,50.0,-0.17720775306224823,0.32866576313972473,0.5058735013008118,2766.425048828125,115.92745258298237
P16,T09,9,2,p16_ext_tau005_push025,prototype,50,0.00392156862745098,1.0,0.05,1.0,0.25,8,8,3,8,37.5,3,37.5,-0.17720775306224823,0.2932329475879669,0.47044068574905396,70231.34375,116.24697139702039
