pair_id,objective,margin_kind,image_id,target_hit,proxy_target_gradient_cosine,proxy_target_sign_cosine,proxy_target_sign_agreement,proxy_directional_derivative,target_directional_derivative,target_clean_margin,target_actual_margin_change,target_adversarial_margin,target_gap_closure,decision_score_type
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026065785437822342,0.02161724492907524,0.5108086466789246,-28.520057678222656,1.075830340385437,-12.5,15.375,2.874999761581421,1.23,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015145626850426197,0.02204241044819355,0.5110211968421936,33.456111907958984,4.425434112548828,-10.5,9.625,-0.875,0.9166666666666666,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.000367050408385694,0.010230655781924725,0.5051153302192688,13.881271362304688,28.250408172607422,-12.625,14.25,1.625,1.1287128712871286,teacher_forced_closed_set
P21,semantic_only,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.041299983859062195,0.020129147917032242,0.5100646018981934,-0.09313106536865234,1.7518317699432373,-11.75,10.0,-1.7499998807907104,0.851063829787234,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.023838521912693977,0.026001809164881706,0.5130009055137634,11.86097526550293,-0.4683194160461426,-12.75,9.0,-3.75,0.7058823529411765,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.0011769435368478298,-0.0056335036642849445,0.497183233499527,20.113311767578125,0.8392940163612366,-12.875,5.5,-7.375,0.42718446601941745,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,8.501706179231405e-05,0.010150936432182789,0.5050754547119141,3.958371639251709,-11.061107635498047,-8.25,1.75,-6.5,0.21212121212121213,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019077308475971222,0.018162736669182777,0.5090813636779785,4.375120162963867,-4.6831817626953125,-13.375,2.0,-11.375,0.14953271028037382,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026129387319087982,0.021258505061268806,0.5106292366981506,-28.226633071899414,1.0353116989135742,-12.5,9.25,-3.25,0.74,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015092193149030209,0.02145780622959137,0.5107288956642151,33.247928619384766,4.463545799255371,-10.5,6.875,-3.625,0.6547619047619048,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0004203078569844365,0.010469813831150532,0.5052348971366882,14.256882667541504,28.114307403564453,-12.625,8.625,-4.0,0.6831683168316832,teacher_forced_closed_set
P21,semantic_only,robust,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.041213374584913254,0.020766904577612877,0.5103834271430969,-0.18352317810058594,1.7129371166229248,-11.75,10.0,-1.7499998807907104,0.851063829787234,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.02341131493449211,0.02582908421754837,0.5129145383834839,3.0795540809631348,1.0284538269042969,-12.75,7.125,-5.625,0.5588235294117647,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.001042479183524847,-0.005952381528913975,0.4970238208770752,7.576092720031738,-0.002668321132659912,-12.875,2.875,-10.0,0.22330097087378642,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,-3.0964554753154516e-05,0.0095796138048172,0.5047898292541504,-2.7553060054779053,2.968829870223999,-8.25,-0.375,-8.625,-0.045454545454545456,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019112251698970795,0.017963437363505363,0.5089817047119141,3.5663278102874756,-1.8260599374771118,-13.375,5.0,-8.375,0.37383177570093457,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026065785437822342,0.02161724492907524,0.5108086466789246,-6.535272121429443,4.648747444152832,-12.5,10.5,-2.0,0.84,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015145626850426197,0.02204241044819355,0.5110211968421936,13.809574127197266,9.237359046936035,-10.5,5.125,-5.375,0.4880952380952381,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.000367050408385694,0.010230655781924725,0.5051153302192688,12.97188949584961,-2.507366895675659,-12.625,8.25,-4.375,0.6534653465346535,teacher_forced_closed_set
P21,target_cka_semantic,source_target,val/n03930630/ILSVRC2012_val_00049612.JPEG,0,0.041299983859062195,0.020129147917032242,0.5100646018981934,11.359496116638184,-5.611929893493652,-11.75,6.625,-5.125,0.5638297872340425,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00015879.JPEG,0,0.023838521912693977,0.026001809164881706,0.5130009055137634,2.8417227268218994,0.9632365107536316,-12.75,7.125,-5.625,0.5588235294117647,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00035897.JPEG,0,-0.0011769435368478298,-0.0056335036642849445,0.497183233499527,7.543096542358398,-0.04723517224192619,-12.875,2.875,-10.0,0.22330097087378642,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00026503.JPEG,0,8.501706179231405e-05,0.010150936432182789,0.5050754547119141,-2.9061708450317383,2.9905452728271484,-8.25,-0.375,-8.625,-0.045454545454545456,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00025354.JPEG,0,0.019077308475971222,0.018162736669182777,0.5090813636779785,3.570263147354126,-1.8598650693893433,-13.375,5.0,-8.375,0.37383177570093457,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00039508.JPEG,0,0.026129387319087982,0.021258505061268806,0.5106292366981506,-6.223532676696777,4.705319881439209,-12.5,8.5,-4.0,0.68,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00037136.JPEG,0,0.015092193149030209,0.02145780622959137,0.5107288956642151,13.839558601379395,9.335956573486328,-10.5,5.125,-5.375,0.4880952380952381,teacher_forced_closed_set
P21,target_cka_semantic,robust,val/n03930630/ILSVRC2012_val_00017708.JPEG,0,0.0004203078569844365,0.010469813831150532,0.5052348971366882,12.990968704223633,-2.87066650390625,-12.625,5.875,-6.75,0.46534653465346537,teacher_forced_closed_set
