pair_id,transition_id,target_clean_source_target_margin,target_adversarial_source_target_margin,target_source_target_margin_change,target_clean_robust_margin,target_adversarial_robust_margin,target_robust_margin_change,target_clean_target_probability,target_adversarial_target_probability,target_target_probability_change,target_clean_target_rank,target_adversarial_target_rank,target_target_rank_change,target_clean_closedset_entropy,target_adversarial_closedset_entropy,target_closedset_entropy_change,target_mean_robust_gap_closure,target_median_robust_gap_closure,target_mean_source_target_gap_closure,closedset_boundary_crossings,tasr_percent,asr_percent,conditional_tasr_percent,semantic_gap_gain
P19,T06,-16.696562480926513,17.2584375,33.954999980926516,-16.696562480926513,12.485,29.181562480926512,1.771217748465781e-06,0.9138630559109151,0.9138612846931667,8.14,1.22,-6.92,0.0004978937406794159,0.13943271358528506,0.13893481984460565,1.7737997322586534,1.844834159359512,2.0732346972957147,46,92.0,100.0,92.0,0.03837384223937988
P19,T07,-22.6040625,11.402812509536743,34.00687500953674,-22.6040625,7.122500002384186,29.726562502384187,3.4404711666650576e-05,0.8201247249366134,0.8200903202249467,8.24,1.38,-6.86,0.0005017805388757956,0.11513620948275786,0.11463442894388207,1.3060035049124672,1.3690845501058715,1.5019415527384625,41,82.0,96.0,82.0,0.05986303448677063
P19,T08,-19.3782421875,11.807499997615814,31.185742185115814,-19.3782421875,8.142499992847442,27.520742180347444,4.1517043673132916e-05,0.8825219910736593,0.8824804740299861,6.34,1.24,-5.1,0.0006424986717469139,0.09388647053290924,0.09324397186116233,1.4840801626077689,1.5020107238605898,1.7032336322702017,44,88.0,92.0,88.0,0.05950035452842713
P19,T09,-17.928125,10.26687500357628,28.19500000357628,-17.928125,7.0749999988079075,25.003124998807905,2.583298776800691e-06,0.7806264543924055,0.7806238710936287,4.34,1.44,-2.9,0.0011381019451567908,0.1437367664610497,0.1425986645158929,1.4260278414640235,1.5821238319797397,1.6090091304410776,41,80.0,90.0,80.0,0.06341192722320557
P19,T10,-21.71375,-5.925000002384186,15.788749997615815,-21.71375,-6.886250002384186,14.827499997615813,2.3205762584146973e-07,0.3287336027392492,0.3287333706816233,3.94,2.94,-1.0,9.28144561194344e-05,0.09010686724104865,0.09001405278492922,0.6980581336783193,0.5434815513194824,0.7447359788696144,16,30.0,36.0,30.612244897959183,0.09339541792869568
P14,T01,-10.6725,2.577499998807907,13.249999998807906,-10.6725,1.974999998807907,12.647499998807907,2.8551300429171532e-05,0.6862221683120697,0.6861936170116405,5.96,2.02,-3.94,0.015228800168260932,0.3371348215267062,0.32190602135844526,1.190433969653572,1.432716049382716,1.247541252522898,34,72.0,72.0,87.8048780487805,0.48832431316375735
P14,T02,-12.18,-6.589999998807907,5.5900000011920925,-12.18,-6.9275000023841855,5.252499997615814,5.699457421997067e-06,0.0662742205928771,0.0662685211354551,7.0,6.58,-0.42,0.009117889180779458,0.48546075481921436,0.47634286563843486,0.4354091357465781,0.2717757205975173,0.4638928513881476,4,10.0,22.0,13.88888888888889,0.44502389907836915
P14,T03,-12.4725,2.1612499916553496,14.63374999165535,-12.4725,-0.65625,11.81625,5.2731886012225005e-06,0.3861743978601953,0.3861691246715941,7.84,2.64,-5.2,0.009348003966733813,1.1208315946161747,1.111483590649441,0.9466515992221403,0.990403203534935,1.1744684148171693,22,46.0,88.0,50.0,0.4807346200942993
P14,T04,-11.77,-3.2874999940395355,8.482500005960464,-11.77,-3.7424999940395356,8.027500005960464,1.320632874922012e-05,0.2532428008413262,0.25322959451257704,6.32,3.32,-3.0,0.009271385692991317,0.3668323112372309,0.35756092554423957,0.6935130235297221,0.6211595386342759,0.7331816495804366,14,26.0,26.0,32.5,0.3873817300796509
P14,T05,-11.015,6.435000002384186,17.450000002384186,-11.015,4.044999997615815,15.059999997615813,0.007222113815964803,0.8406738664302975,0.8334517526143327,7.58,1.2,-6.38,0.06314160975627602,0.32723604947328566,0.2640944397170097,1.5118656926910654,1.4525593008739075,1.7478404929277835,44,90.0,96.0,90.0,0.2660159730911255
P14,T06,-11.15125,8.6975,19.84875,-11.15125,4.5449999952316285,15.696249995231629,4.987191640339006e-05,0.9168504148721695,0.9168005429557661,8.3,1.1,-7.2,0.024962546885944903,0.2158345068246126,0.1908719599386677,1.4119531831777774,1.4488151005786718,1.7880185665277493,48,96.0,96.0,97.95918367346938,0.3403881359100342
P14,T07,-11.63375,3.8749999952316285,15.508749995231629,-11.63375,2.1574999964237214,13.791249996423721,9.150084056273045e-05,0.7255002599931322,0.7254087591525695,8.78,1.98,-6.8,0.014184796754270791,0.6009072224795818,0.5867224257253111,1.1936972209404586,1.290909090909091,1.3421466599609442,39,78.0,98.0,92.85714285714286,0.3966430056095123
P14,T08,-10.555,2.055000002384186,12.610000002384187,-10.555,0.7674999976158142,11.322499997615814,4.996690488951572e-05,0.6058364723940031,0.6057865054891135,4.12,1.72,-2.4,0.006255064227152616,0.38904707474634054,0.3827920105191879,1.0739184501204797,1.1865275193587803,1.1965747466178165,31,62.0,62.0,70.45454545454545,0.4639780163764954
P14,T09,-10.9975,3.6949999964237215,14.692499996423722,-10.9975,1.1824999940395355,12.179999994039536,2.2595473883484373e-05,0.6434464955108706,0.6434239000369871,5.9,2.2,-3.7,0.012698989603668451,0.3734751560166478,0.3607761664129794,1.1127120871266878,1.3083530028848676,1.3443165457784587,33,66.0,70.0,71.73913043478261,0.47249312162399293
P14,T10,-10.855,-1.7075,9.1475,-10.855,-1.865,8.99,5.2721663819284005e-05,0.3402609226027562,0.3402082009389369,7.68,2.38,-5.3,0.029540910478681327,0.4425980135053396,0.4130571030266583,0.8322131990994138,0.8057310719432436,0.8467664260365686,18,40.0,42.0,41.666666666666664,0.5245124626159668
