pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P16,T04,1,4,0,-25.5,-23.0,-25.5,-23.0,8.423463315754276e-12,1.0261879540562902e-10,8.0,7.0,6.2440510539829575e-09,3.859242525550144e-08,0.09803921568627451,0.09803921568627451
P16,T04,1,5,0,-20.875,-15.25,-20.875,-15.25,8.592165312570899e-10,2.382345201112912e-07,10.0,5.0,1.5349994555435842e-06,0.0001367984659736976,0.2694610778443114,0.2694610778443114
P16,T04,1,6,0,-26.625,-25.125,-26.625,-25.125,2.7346983184906026e-12,1.2256067688509731e-11,6.0,5.0,1.8087987774251246e-09,6.557783649441262e-09,0.056338028169014086,0.056338028169014086
P16,T04,1,7,0,-15.75,-8.625,-15.75,-8.625,1.4449548757511366e-07,0.00017935072537511587,10.0,3.0,0.00022138719214126468,0.01109063345938921,0.4523809523809524,0.4523809523809524
P16,T04,2,0,0,-27.375,-21.875,-27.375,-21.875,1.2917800509826272e-12,3.16088155649652e-10,7.0,8.0,7.561801185218542e-10,1.1602427463230924e-07,0.2009132420091324,0.2009132420091324
P16,T04,2,1,0,-26.0,-25.5,-26.0,-25.5,5.1090889331695255e-12,8.423463315754276e-12,8.0,5.0,3.261621417394167e-09,3.1259355104396036e-09,0.019230769230769232,0.019230769230769232
P16,T04,2,2,0,-23.75,-14.0,-23.75,-14.0,4.8473686869998645e-11,8.3151149965488e-07,6.0,7.0,2.2089583495699117e-08,0.00028097620815970004,0.4105263157894737,0.4105263157894737
P16,T04,2,3,0,-25.5,-25.125,-25.5,-25.125,8.423463315754276e-12,1.2256067688509731e-11,7.0,6.0,5.410349945833559e-09,6.3093978930339745e-09,0.014705882352941176,0.014705882352941176
P16,T04,2,4,0,-25.75,-23.875,-25.75,-23.875,6.5602002996545394e-12,4.2777878461741636e-11,5.0,5.0,4.204937731344671e-09,2.2451725811833967e-08,0.07281553398058252,0.07281553398058252
P16,T04,2,5,0,-26.125,-24.5,-26.125,-24.5,4.508755348242577e-12,2.2897348947448215e-11,7.0,7.0,3.5563403333327415e-09,1.4468267472977914e-08,0.06220095693779904,0.06220095693779904
P16,T04,2,6,1,-22.5,0.875,-22.5,0.25,1.6918980105806725e-10,0.310438871383667,8.0,1.0,7.708614191415109e-08,1.7941498756408691,1.038888888888889,1.011111111111111
P16,T04,2,7,0,-27.25,-23.25,-27.25,-23.25,1.463778534147031e-12,7.99195987166712e-11,5.0,5.0,1.0402501082751314e-09,2.8127452367243677e-08,0.14678899082568808,0.14678899082568808
P16,T04,3,0,0,-20.875,-20.5,-20.875,-20.5,8.592166422793923e-10,1.2501528701136522e-09,7.0,9.0,3.4665686143853236e-07,5.029359613217821e-07,0.017964071856287425,0.017964071856287425
