scope,metric,outcome,cell_count,spearman,permutation_p
P19,target_clean_target_probability,asr_percent,10,0.480245379507251,0.16377836221637784
P14,target_clean_target_probability,asr_percent,10,0.4924034903808523,0.15027849721502784
within_pair_stratified,target_clean_target_probability,asr_percent,30,0.40447906410167245,0.03459965400345996
P16,target_clean_target_probability,conditional_tasr_percent,10,0.40244650599060877,0.24827751722482774
P19,target_clean_target_probability,conditional_tasr_percent,10,0.480245379507251,0.16309836901630984
P14,target_clean_target_probability,conditional_tasr_percent,10,0.5878787878787879,0.08076919230807691
within_pair_stratified,target_clean_target_probability,conditional_tasr_percent,30,0.49037713856858545,0.008979910200897992
P16,target_clean_target_probability,semantic_gap_gain,10,-0.17575757575757575,0.6342036579634204
P19,target_clean_target_probability,semantic_gap_gain,10,-0.40606060606060607,0.24790752092479076
P14,target_clean_target_probability,semantic_gap_gain,10,-0.2727272727272727,0.45196548034519657
within_pair_stratified,target_clean_target_probability,semantic_gap_gain,30,-0.28484848484848485,0.14367856321436787
P16,target_adversarial_target_probability,tasr_percent,10,0.9939209163101398,1.999980000199998e-05
P19,target_adversarial_target_probability,tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_adversarial_target_probability,tasr_percent,10,1.0,1.999980000199998e-05
within_pair_stratified,target_adversarial_target_probability,tasr_percent,30,0.9969650916353059,9.99990000099999e-06
P16,target_adversarial_target_probability,asr_percent,10,0.9509918346667657,0.00012999870001299986
P19,target_adversarial_target_probability,asr_percent,10,0.8936211492096949,0.0008899911000889991
P14,target_adversarial_target_probability,asr_percent,10,0.8875420937728943,0.0012499875001249989
within_pair_stratified,target_adversarial_target_probability,asr_percent,30,0.9105860337565289,9.99990000099999e-06
P16,target_adversarial_target_probability,conditional_tasr_percent,10,0.9939209163101398,1.999980000199998e-05
P19,target_adversarial_target_probability,conditional_tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_adversarial_target_probability,conditional_tasr_percent,10,0.9878787878787879,2.999970000299997e-05
within_pair_stratified,target_adversarial_target_probability,conditional_tasr_percent,30,0.9929123880107722,9.99990000099999e-06
P16,target_adversarial_target_probability,semantic_gap_gain,10,0.11515151515151516,0.7599924000759992
P19,target_adversarial_target_probability,semantic_gap_gain,10,-0.8545454545454545,0.0027099729002709972
P14,target_adversarial_target_probability,semantic_gap_gain,10,-0.40606060606060607,0.24694753052469476
within_pair_stratified,target_adversarial_target_probability,semantic_gap_gain,30,-0.38181818181818183,0.047759522404775955
P16,target_target_probability_change,tasr_percent,10,0.9939209163101398,1.999980000199998e-05
P19,target_target_probability_change,tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_target_probability_change,tasr_percent,10,1.0,1.999980000199998e-05
within_pair_stratified,target_target_probability_change,tasr_percent,30,0.9969650916353059,9.99990000099999e-06
P16,target_target_probability_change,asr_percent,10,0.9509918346667657,0.00012999870001299986
P19,target_target_probability_change,asr_percent,10,0.8936211492096949,0.0008899911000889991
P14,target_target_probability_change,asr_percent,10,0.8875420937728943,0.0012499875001249989
within_pair_stratified,target_target_probability_change,asr_percent,30,0.9105860337565289,9.99990000099999e-06
P16,target_target_probability_change,conditional_tasr_percent,10,0.9939209163101398,1.999980000199998e-05
P19,target_target_probability_change,conditional_tasr_percent,10,0.9969650916353059,1.999980000199998e-05
P14,target_target_probability_change,conditional_tasr_percent,10,0.9878787878787879,2.999970000299997e-05
within_pair_stratified,target_target_probability_change,conditional_tasr_percent,30,0.9929123880107722,9.99990000099999e-06
P16,target_target_probability_change,semantic_gap_gain,10,0.1393939393939394,0.7069829301706982
P19,target_target_probability_change,semantic_gap_gain,10,-0.8545454545454545,0.0027099729002709972
P14,target_target_probability_change,semantic_gap_gain,10,-0.40606060606060607,0.24694753052469476
within_pair_stratified,target_target_probability_change,semantic_gap_gain,30,-0.37373737373737376,0.05283947160528395
P16,target_clean_target_rank,tasr_percent,10,-0.07926976633148354,0.8318116818831812
P19,target_clean_target_rank,tasr_percent,10,0.3465061598976368,0.32365676343236566
P14,target_clean_target_rank,tasr_percent,10,0.3090909090909091,0.38624613753862463
within_pair_stratified,target_clean_target_rank,tasr_percent,30,0.1925034221653538,0.32713672863271365
P16,target_clean_target_rank,asr_percent,10,-0.17792750455055617,0.6250537494625054
P19,target_clean_target_rank,asr_percent,10,0.5531940447488587,0.1011589884101159
P14,target_clean_target_rank,asr_percent,10,0.5714312110592606,0.0891991080089199
within_pair_stratified,target_clean_target_rank,asr_percent,30,0.31707906532593416,0.1000789992100079
P16,target_clean_target_rank,conditional_tasr_percent,10,-0.07926976633148354,0.8318116818831812
P19,target_clean_target_rank,conditional_tasr_percent,10,0.3465061598976368,0.32365676343236566
P14,target_clean_target_rank,conditional_tasr_percent,10,0.3575757575757576,0.3119068809311907
within_pair_stratified,target_clean_target_rank,conditional_tasr_percent,30,0.20871423666348884,0.2874871251287487
P16,target_clean_target_rank,semantic_gap_gain,10,-0.06666666666666667,0.8650113498865011
P19,target_clean_target_rank,semantic_gap_gain,10,-0.3696969696969697,0.29632703672963273
P14,target_clean_target_rank,semantic_gap_gain,10,-0.24848484848484848,0.4930950690493095
within_pair_stratified,target_clean_target_rank,semantic_gap_gain,30,-0.22828282828282828,0.24527754722452774
P16,target_adversarial_target_rank,tasr_percent,10,-0.8536744066467459,0.0024499755002449974
P19,target_adversarial_target_rank,tasr_percent,10,-0.9420731707317073,0.00016999830001699983
P14,target_adversarial_target_rank,tasr_percent,10,-0.9151515151515152,0.0006399936000639994
within_pair_stratified,target_adversarial_target_rank,tasr_percent,30,-0.9036529746139752,9.99990000099999e-06
P16,target_adversarial_target_rank,asr_percent,10,-0.7669288989248111,0.012929870701292987
P19,target_adversarial_target_rank,asr_percent,10,-0.948170731707317,0.00013999860001399987
P14,target_adversarial_target_rank,asr_percent,10,-0.7294866524160775,0.02112978870211298
within_pair_stratified,target_adversarial_target_rank,asr_percent,30,-0.8148630335787769,9.99990000099999e-06
P16,target_adversarial_target_rank,conditional_tasr_percent,10,-0.8536744066467459,0.0024499755002449974
P19,target_adversarial_target_rank,conditional_tasr_percent,10,-0.9420731707317073,0.00016999830001699983
P14,target_adversarial_target_rank,conditional_tasr_percent,10,-0.8909090909090909,0.0013299867001329987
within_pair_stratified,target_adversarial_target_rank,conditional_tasr_percent,30,-0.8955393676589676,9.99990000099999e-06
P16,target_adversarial_target_rank,semantic_gap_gain,10,0.2727272727272727,0.44897551024489757
P19,target_adversarial_target_rank,semantic_gap_gain,10,0.7598819296000807,0.013699863001369987
P14,target_adversarial_target_rank,semantic_gap_gain,10,0.40606060606060607,0.24890751092489075
within_pair_stratified,target_adversarial_target_rank,semantic_gap_gain,30,0.47927223690747844,0.010969890301096989
P16,target_target_rank_change,tasr_percent,10,-0.5688099992112948,0.08833911660883391
P19,target_target_rank_change,tasr_percent,10,-0.6869332643584729,0.03221967780322197
P14,target_target_rank_change,tasr_percent,10,-0.7575757575757576,0.015079849201507985
within_pair_stratified,target_target_rank_change,tasr_percent,30,-0.6714009755268817,0.00013999860001399987
P16,target_target_rank_change,asr_percent,10,-0.41232525920182495,0.23535764642353577
P19,target_target_rank_change,asr_percent,10,-0.8510677611520904,0.002819971800281997
P14,target_target_rank_change,asr_percent,10,-0.8328305948416884,0.004339956600433996
within_pair_stratified,target_target_rank_change,asr_percent,30,-0.6999073247218458,6.999930000699993e-05
P16,target_target_rank_change,conditional_tasr_percent,10,-0.5688099992112948,0.08833911660883391
P19,target_target_rank_change,conditional_tasr_percent,10,-0.6869332643584729,0.03221967780322197
P14,target_target_rank_change,conditional_tasr_percent,10,-0.7696969696969697,0.012799872001279987
within_pair_stratified,target_target_rank_change,conditional_tasr_percent,30,-0.6754577790043855,0.00013999860001399987
P16,target_target_rank_change,semantic_gap_gain,10,-0.006079055436800646,0.9923000769992301
P19,target_target_rank_change,semantic_gap_gain,10,0.7090909090909091,0.026829731702682973
P14,target_target_rank_change,semantic_gap_gain,10,0.2606060606060606,0.47129528704712953
within_pair_stratified,target_target_rank_change,semantic_gap_gain,30,0.32153707033033363,0.09564904350956491
P16,target_clean_closedset_entropy,tasr_percent,10,0.5426930156540027,0.10818891811081889
P19,target_clean_closedset_entropy,tasr_percent,10,0.4924034903808523,0.15042849571504285
P14,target_clean_closedset_entropy,tasr_percent,10,0.6121212121212121,0.06748932510674893
within_pair_stratified,target_clean_closedset_entropy,tasr_percent,30,0.549141341124325,0.003079969200307997
P16,target_clean_closedset_entropy,asr_percent,10,0.37426130267530777,0.28977710222897773
P19,target_clean_closedset_entropy,asr_percent,10,0.40729671426564323,0.24222757772422276
P14,target_clean_closedset_entropy,asr_percent,10,0.5410359338752575,0.11169888301116988
within_pair_stratified,target_clean_closedset_entropy,asr_percent,30,0.44106511010081867,0.02020979790202098
P16,target_clean_closedset_entropy,conditional_tasr_percent,10,0.5426930156540027,0.10818891811081889
P19,target_clean_closedset_entropy,conditional_tasr_percent,10,0.4924034903808523,0.15042849571504285
P14,target_clean_closedset_entropy,conditional_tasr_percent,10,0.5636363636363636,0.0972490275097249
