pair_id,transition_id,source_human_label,target_human_label,arm,semantic_mode,steps,step_size,rho,semantic_temperature,target_logit_weight,source_logit_weight,proxy_hits,proxy_denominator,tasr_hits,tasr_denominator,tasr_percent,asr_hits,asr_percent,semantic_gap_clean,semantic_gap_adversarial,semantic_gap_gain,effective_lambda,elapsed_seconds
P14,T03,3,6,pull_push_rho050_balanced,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,7,8,2,8,25.0,7,87.5,-0.24820341169834137,0.2601402997970581,0.5083436965942383,5.245442867279053,197.69001251200098
P14,T03,3,6,pull_push_small_steps,prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,8,8,0,8,0.0,6,75.0,-0.24820341169834137,0.29021698236465454,0.5384203791618347,2.6147749423980713,385.8352403479803
P14,T04,4,7,multiclass_small_steps,multiclass_prototype,100,0.00196078431372549,0.25,0.1,1.0,1.0,7,8,0,8,0.0,0,0.0,-0.16811992228031158,0.28072041273117065,0.44884032011032104,7.417784690856934,392.2246884740016
P14,T04,4,7,multiclass_standard,multiclass_prototype,50,0.00392156862745098,0.25,0.1,1.0,1.0,7,8,1,8,12.5,1,12.5,-0.16811992228031158,0.2080325484275818,0.3761524558067322,7.423684120178223,203.38910754898097
P14,T04,4,7,p14_rho050_push075,prototype,50,0.00392156862745098,0.5,0.1,1.0,0.75,5,8,2,8,25.0,2,25.0,-0.15928226709365845,0.14178034663200378,0.30106261372566223,17.830415725708008,201.65064951000386
P14,T04,4,7,p14_rho050_push125,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.25,8,8,1,8,12.5,1,12.5,-0.15928226709365845,0.36311131715774536,0.5223935842514038,11.228302955627441,200.32229397800984
P14,T04,4,7,p14_rho065_balanced,prototype,50,0.00392156862745098,0.65,0.1,1.0,1.0,8,8,1,8,12.5,1,12.5,-0.15928226709365845,0.32662999629974365,0.4859122633934021,15.076502799987793,199.20241536499816
P14,T04,4,7,pull_push_rho010_balanced,prototype,50,0.00392156862745098,0.1,0.1,1.0,1.0,3,8,0,8,0.0,0,0.0,-0.15928226709365845,0.06737738102674484,0.2266596555709839,2.3165817260742188,197.3891297079972
P14,T04,4,7,pull_push_rho025_push050,prototype,50,0.00392156862745098,0.25,0.1,1.0,0.5,3,8,1,8,12.5,1,12.5,-0.15928226709365845,0.019461728632450104,0.17874398827552795,28.239316940307617,197.40434302500216
P14,T04,4,7,pull_push_rho025_push200,prototype,50,0.00392156862745098,0.25,0.1,1.0,2.0,5,8,2,8,25.0,3,37.5,-0.15928226709365845,0.19572031497955322,0.35500258207321167,5.038727760314941,197.54597860499052
P14,T04,4,7,pull_push_rho050_balanced,prototype,50,0.00392156862745098,0.5,0.1,1.0,1.0,7,8,2,8,25.0,3,37.5,-0.15928226709365845,0.30339014530181885,0.4626724123954773,11.579943656921387,197.21262960400782
