stage,pair_id,objective,rho,alpha,reference_count,effective_lambda_cka,proxy_hits,proxy_denominator,free_generation_hits,proxy_min_margin,proxy_min_probability,target_hits,target_denominator,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,cka_adv_source,cka_adv_reference,source_cka_drop,reference_cka_gain,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds
original_token_cka_mid_transfer,P22,original_cka_mid_1,1.0,8.0,8,116.00422668457031,8,8,8,3.125,0.9037564992904663,0,8,0,8,0.0,2,25.0,0.5798734426498413,0.6141132712364197,0.4201265573501587,0.2172216773033142,True,True,0.038058649748563766,0.038058649748563766,0.04171152040362358,629.0388958269614
original_token_cka_full100,P20,classification_only,,0.0,8,0.0,8,8,8,12.14328384399414,0.9999945163726807,3,8,3,8,37.5,7,87.5,0.3821996748447418,0.26505231857299805,0.6178003549575806,0.004727363586425781,,,0.0,0.0,0.0,1411.4816044489853
original_token_cka_full100,P20,original_cka_full_2,0.3,4.0,8,5.505999565124512,8,8,8,3.8646891117095947,0.9690073132514954,1,8,1,8,12.5,8,100.0,0.32201531529426575,0.5270442962646484,0.6779847145080566,0.26671934127807617,True,True,0.012555153109133244,0.0037665460258722305,-0.29390162229537964,1439.241946648981
original_token_cka_full100,P20,original_cka_full_1,0.1,8.0,8,0.5992158651351929,8,8,8,4.720586776733398,0.9886519312858582,1,8,1,8,12.5,3,37.5,0.37459826469421387,0.5342625975608826,0.6254017353057861,0.2739376425743103,True,True,0.012557834386825562,0.0012557836016640067,-0.1883690357208252,1438.0802817590302
original_token_cka_full100,P21,classification_only,,0.0,8,0.0,8,8,8,22.781352996826172,1.0,0,8,0,8,0.0,5,62.5,0.5651515126228333,0.2695770263671875,0.43484848737716675,-0.034142255783081055,,,0.0,0.0,0.0,689.0032356660231
original_token_cka_full100,P21,original_cka_full_2,0.03,4.0,8,6.932918548583984,8,8,8,5.391985893249512,0.9903523325920105,0,8,0,8,0.0,4,50.0,0.3425898551940918,0.5747233629226685,0.6574101448059082,0.2710040807723999,True,True,0.027953173965215683,0.0008385950932279229,0.05875450745224953,755.4436487009516
original_token_cka_full100,P21,original_cka_full_1,1.0,8.0,8,122.98121643066406,8,8,8,4.242981433868408,0.9729564785957336,0,8,0,8,0.0,2,25.0,0.40103432536125183,0.5966958999633789,0.5989656448364258,0.29297661781311035,True,True,0.02798282727599144,0.02798282727599144,0.01977086067199707,756.1653419219656
original_token_cka_full100,P22,classification_only,,0.0,8,0.0,8,8,8,26.0078125,1.0,0,8,0,8,0.0,2,25.0,0.6309705972671509,0.3556095361709595,0.3690294027328491,-0.041282057762145996,,,0.0,0.0,0.0,1679.7087419130257
original_token_cka_full100,P22,original_cka_full_2,1.0,4.0,8,243.66314697265625,8,8,8,4.25,0.9752388596534729,0,8,0,8,0.0,1,12.5,0.452731728553772,0.6478058099746704,0.547268271446228,0.25091421604156494,True,True,0.038052789866924286,0.038052789866924286,0.05058971792459488,1981.4510962580098
original_token_cka_full100,P22,original_cka_full_1,1.0,8.0,8,116.00137329101562,8,8,8,3.5,0.968403697013855,0,8,0,8,0.0,2,25.0,0.5196459889411926,0.6601109504699707,0.4803540110588074,0.26321935653686523,True,True,0.03805996850132942,0.03805996850132942,0.040480636060237885,2000.0474351309822
original_token_cka_reference48,P20,original_cka_reference48,0.1,8.0,48,0.6010170578956604,8,8,8,4.99778938293457,0.9910515546798706,1,8,1,8,12.5,3,37.5,0.40249139070510864,0.4745829105377197,0.5975086092948914,0.22021827101707458,True,True,0.012524306774139404,0.0012524306075647473,-0.17384323477745056,1433.8912280990044
original_token_cka_reference48,P21,original_cka_reference48,1.0,8.0,48,138.12521362304688,8,8,8,4.2238922119140625,0.9740047454833984,0,8,0,8,0.0,3,37.5,0.41768330335617065,0.5280767679214478,0.5823166966438293,0.23543238639831543,True,True,0.028005877509713173,0.028005877509713173,-0.011738444678485394,763.8878950150101
original_token_cka_reference48,P22,original_cka_reference48,1.0,8.0,48,122.23088073730469,8,8,8,5.375,0.9896523356437683,0,8,0,8,0.0,1,12.5,0.5388019680976868,0.6120947003364563,0.46119803190231323,0.221196711063385,True,True,0.037971511483192444,0.03797151520848274,0.05353723466396332,1995.5707493359805
